warehouse,product,alpha,unit_code,long_description,nominal_key,purchase_key,analysis_a,analysis_b,last_supplier,physical_qty,on_order_qty,current_cost,min_stock_level
ES,CHVRCYRC09,CHAIN,EACH,VARNISHER CYLINDER CHAIN,199,199,199,OBS,Unknown,0,0,0,0
ES,CHVRDRCN10,CHAIN,EACH,VARNISHER DELIVERY ROLLER CHAIN,199,199,199,OBS,Unknown,0,0,0,0
ES,CO01007300,BO,EACH,COUPLING,BO,BO,BO,BO,IB01,0,0,172.91,0
ES,CO17101533,BO,EACH,COMPRESSING SPRING,BO,BO,BO,BO,IB01,0,0,5.44,0
ES,CO17101805,BO,EACH,COMPRESSION SPRING,BO,BO,BO,BO,IB01,0,0,10.28,0
ES,CO17102039,BO,EACH,COMPRESSION SPRING,BO,BO,BO,BO,IB01,0,0,6.77,0
ES,CO60017800,BO,EACH,COURSE FILTER,BO,BO,BO,BO,IB01,0,0,282.95,0
ES,CO90134900,BO,EACH,COVER,BO,BO,BO,BO,IB01,0,0,9.36,0
ES,CS70CPNS07,CONSOL,EACH,PINS 70C 414K,199,199,199,OBS,Unknown,0,0,0,0
ES,CSAINSCS01,CONSOL,EACH,ALLEN SCREWS,199,199,199,OBS,Unknown,0,0,0,0
ES,CSCLLBLT05,CONSOL,EACH,CHASE LOCK UP BOLTS SCREW TYPE LARGE,199,199,199,OBS,Unknown,0,0,0,0
ES,CSLHTSPS03,CONSOL,EACH,LIGHT SPRINGS,199,199,199,OBS,Unknown,0,0,0,0
ES,CSLKUSCS06,CONSOL,EACH,LOCK-UP SCREWS,199,199,199,OBS,Unknown,0,0,0,0
ES,CSOUPCLS23,CONSOL,EACH,OFFUPPERCHASELOCKERS,199,199,199,OBS,Unknown,0,0,0,0
ES,CSOUPCSE22,CONSOL,EACH,OFFUPPERCHASESPINDLE,199,199,199,OBS,Unknown,0,0,0,0
ES,CSSCPSCS10,CONSOL,EACH,SOCKET CAP SCREWS,199,199,199,OBS,Unknown,0,0,0,0
ES,CSSDYSPS08,CONSOL,EACH,SIDE LAY SPRINGS,199,199,199,OBS,Unknown,0,0,0,0
ES,CSSDYSTP09,CONSOL,EACH,SIDELAYSTOPSF283,199,199,199,OBS,Unknown,0,0,0,0
ES,CSSSTSCS11,CONSOL,EACH,SOCKET SET SCREWS,199,199,199,OBS,Unknown,0,0,0,0
ES,DE48031400,BO,EACH,DETECTOR/SENSOR,BO,BO,BO,BO,IB01,0,0,408.7,0
ES,DI08007300,BO,EACH,DISTANCE PIECE,BO,BO,BO,BO,IB01,0,0,6.77,0
ES,DI08024000,BO,EACH,DISTANCE PIECE,BO,BO,BO,BO,IB01,0,0,6.77,0
ES,DI08065400,BO,EACH,DISTANCE,BO,BO,BO,BO,IB01,0,0,8.46,0
ES,DI08408103,BO,EACH,DISTANCE PIECE,BO,BO,BO,BO,IB01,0,0,10.28,0
ES,EL0.4GLF113,ELECTR,EACH,0.4AMP GLASS FUSES,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL0.50AB157,ELECTR,EACH,0.50A-3.5V BULBS,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL0.5GLF114,ELECTR,EACH,0.5AMP GLASS FUSES,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL0.75MG195,ELECTR,EACH,0.75MM2 GREEN FLEX,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL020TTN78,ELECTR,EACH,THYRATRON TUBES,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL04ALD519,ELECTR,EACH,0-4A OVERLOADS AUXILLARY CONTANTORS,099,099,099,ELEC,LA23,0,0,29.348,0
ES,EL075AUTFL,ELECTR,EACH,YELLOW PVC AUTOFLEX CABLE 0.75,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL0NHBHF22,ELECTR,EACH,BUSMAN FUSES 500V,E99,E99,099,OBS,Unknown,0,0,0,0
ES,EL1.5-6LAY496,ELECTR,EACH,1.5 - 6A OVERLOAD RELAY,E99,E99,099,ELEC,BO01,0,0,19.5,0
ES,EL1.5M3C203,ELECTR,EACH,1.5 3CORE FLEX CABLE,E99,E99,099,OBS,BD28,0,0,0,0
ES,EL1.5M4C430,ELECTR,EACH,1.5MM 4 CORE FLEX CABLE,E99,E99,099,OBS,BO01,0,0,0,0
